KEY,Français,English
niv3_des,"Niveau 3:\nLe bastion n'est pas prêt et vous devez leur donner du temps pour s'organiser. Par chance, les orcs vous collent, emmenez-les dans les plateaux enneigés où le froid aura raison d'eux! Chaque minute gagnée est précieuse!\n","Level 3: \nThe bastion is not ready and you need to give them time to get organized. Luckily, the orcs will stick you, take them to the snowy plateaus where the cold will be right of them! Every minute you earn is valuable!"
niv4_des,"Niveau 4:\nLa bataille finale qui déterminera de la survie ou non de la race elfe. Vous avez affaibli les orcs mais votre peuple est acculé. Vos défenses sont prêtes mais vous êtes le dernier rempart de civilisation. Pour Les Elfes !","Level 4:\nThe final battle that will determine the survival or not of the elf race. You have weakened the orcs but your people are cornered. Your defenses are ready but you are the last bulwark of civilization. For The Elves!"
vallee,"La vallée","The valley"
col,"Le col","The collar"
hauteurs,"Les hauteurs","The hights"
grotte,"La grotte","The cave"
play,"Jouer","Play"
quit,"Quitter","Quit game"
tuto,"Tutoriel","Tutorial"
enter_name,"Entrer votre nom","Enter your name"
press_continue,"Appuyez sur Espace pour continuer","Press Space to continue"
LaunchWave,"Appuyez sur Entrer pour lancer la prochaine vague","Press Enter to launch the wave !"
EndLevel,"Vous avez gagner! pour le moment...","You Win ! for this time."
LooseLevel,"Vous avez perdu !","You loose !"
map1_wave1,"Les éclaireurs arrivent, repoussez les avant qu'ils s'inflitrent","Scouts incoming, push them back before they got infiltred"
map1_wave2,"L'avant-garde est là, j'espère que vous êtes bien préparé !","The vanguard is there, I hope you are well prepared!"
map1_wave3,"Et voici le gros des troupes !","And here is the bulk of the troops!"
map1_wave4,"Ca ne leur as pas plu, ils intensifient leurs attaques","It did not please them, they intensify their attacks"
map1_wave5_1,"ATTENTION CHEF DE RAID EN APPROCHE","WARNING RAID LEADER INCOMING"
map1_wave5_2,"Le restant des troupes s'est rassemblé autour d'un chef de guerre!","The rest of the troops gathered round a warlord!"
map2_wave1,"Les orcs vous talonnent, défendez les vôtres !","Orcs are hounding you, defend the survivors"
map2_wave3,"Ils ont envoyé des sapeurs pour provoquer un éboulement et vous pieger, abattez-les!","They sent sappers to cause a landslide and trap you, shoot them down!"
map2_wave2,"Ils se regroupent, ne les sous-estimez pas","They regroup, do not underestimate them"
map2_wave4,"Il y en a de plus en plus, ne relâchez pas vos efforts","They are more and more coming, do not give up!"
map2_wave5_1,"ATTENTION CHEF DE RAID EN APPROCHE","WARNING RAID LEADER INCOMING"
map2_wave5_2,"Ils vont essayer de faire diversion pour faire passer les sapeurs, ne vous faites pas avoir!","They will try to make diversion in order to cover the sapeurs, do not be fooled!"
map3_wave1,"Bien joué, ils vous ont suivi. gagnez le plus de temps!","Well played, they followed you. Save the most time!"
map3_wave2,"Ils ont envoyé des assassins pour en finir avec vous, prenez garde!","They sent assassins to finish with you, beware!"
map3_wave3,"Ils en envoient encore plus, et tant mieux pour les vôtres!","They are sending more orcs, so much better for yours!"
map3_wave4_1,"ATTENTION CHEF DE RAID EN APPROCHE","WARNING RAID LEADER INCOMING"
map3_wave4_2,"Finissez en au plus vite avec ces orcs pour rejoindre les vôtres et les défendre","Finish quickly with them to join your people as quickly as possible and hold the defenses"
map4_wave1,"Ils vous ont trouvé, faites en sorte qu'il ne s'en sorte pas!","They found you, make sure they do not get away!"
map4_wave2,"Ils essaient de faire sauter les fondations de la grotte, ne les laissez pas faire !","They try to blow up the foundations of the cave, do not let them do this"
map4_wave3,"Ces fous pensent pouvoir vous abattre","These fools think they can shoot you down"
map4_wave4,"Ils s'engouffrent en masse dans les grottes, ne perdez pas espoir","They rush into the caves, do not lose hope"
map4_wave5_1,"ATTENTION RUSH FINAL","WARNING FINAL RUSH"
map4_wave5_2,"Ils concentrent leurs dernières forces dans cet assaut. C'est maintenant ou jamais de montrer la force de votre peuple","They concentrate their last forces in this assault. It is now or never to show the strength of your people"
close,"Fermer","Close"
son,"Son","Sound"
language,"Langue","Language"
credits,"Crédits","Credits"
bought," acheté"," bought"
orcshop_des,"La boutique d'orcs vous permet d'envoyer a votre adversaires des orcs. Selectionnez votre item puis cliquez sur Acheter si vous avez les fonds suffisants","The orcs shop allows you to send orcs to your opponents. Select your item and click Buy if you have sufficient funds."
orcshop,"Boutique d'orcs","Orcs Shop"
Ennemy0,"Orc","Orc"
Assassin,"Assassin","Assassin"
MOB_Sapeur,"Sapeur","Sapper"
Boss1,"Petit Boss","Little Boss"
Boss2,"Moyen Boss","Middle Boss"
Boss3,"Gros boss","Big Boss"
Ennemy0_des,"Ils sont bêtes et méchants sont les minions de base qui avancent vers le portail et attaquent le joueur lorsque celui-ci s'approche trop près ou les attaquent.","They are stupid and evil are the base minions that advance to the gate and attack the player when the player approaches too close or attack them."
Assissin_des,"Ils sont des orcs intelligents ! Ils ont compris que le joueur était leur principal ennemi. S'ils repèrent le joueur, ils s'élanceront à sa poursuite jusqu'à ce que mort s'en suive.","They are intelligent orcs! They understood that the player was their main enemy. If they spot the player, they will pursue him until death ensues."
MOB_Sapeur_des,"Sa priorité n'étant pas le joueur, il s'efforcera de l'éviter. Il est aussi plus rapide ce qui en fait une menace supplémentaire. Le joueur devra également faire attention car cet ennemi a tendance à exploser avec son tonneau à sa mort, occasionnant brûlures et contusions.","His priority being not the player, he will try to avoid it. It is also faster which makes it an additional threat. The player should also be careful as this enemy tends to explode with his barrel at his death, causing burns and bruises."
Boss1_des,"Ces redoutables ennemis ont su se hisser en haut de la chaîne de commandement et ce n'est pas pour rien. Ils sont plus résistants, et ils tapent plus fort.","These formidable enemies have managed to reach the top of the chain of command and it is not for nothing. They are more resistant, and they hit harder."
Boss2_des,"Ces redoutables ennemis ont su se hisser en haut de la chaîne de commandement et ce n'est pas pour rien. Ils sont plus résistants, et ils tapent plus fort.","These formidable enemies have managed to reach the top of the chain of command and it is not for nothing. They are more resistant, and they hit harder."
Boss3_des,"Ces redoutables ennemis ont su se hisser en haut de la chaîne de commandement et ce n'est pas pour rien. Ils sont plus résistants, et ils tapent plus fort.","These formidable enemies have managed to reach the top of the chain of command and it is not for nothing. They are more resistant, and they hit harder."
